Lana;Lukić;ZENSKO;2002-05-14;063111222;c;c;c;BEZ_KATEGORIJE;2021-06-15;0;null;1;NEMA
Ivan;Ivanović;MUSK0;1995-10-03;064222333;ivan@gmail.com;ivan@gmail.com;sifra123;STUDENT;2015-11-20;1;2026-06-22;2;NEMA
Marija;Marić;ZENSKO;1980-02-25;065333444;marija@yahoo.com;marija@yahoo.com;marija80;FIRMA;2000-05-12;0;null;3;NEMA
Dragan;Petrović;MUSK0;1955-07-19;061444555;dragan@outlook.com;dragan@outlook.com;dragan77;PENZIONER;1975-08-10;0;null;4;NEMA
Anja;Nedić;ZENSKO;2001-12-11;062555666;anja@gmail.com;anja@gmail.com;anja2001;STUDENT;2020-01-15;6;2026-03-15;5;NEMA
Stefan;Stanković;MUSK0;1992-04-30;066777888;stefan@gmail.com;stefan@gmail.com;stefan92;BEZ_KATEGORIJE;2012-05-05;2;null;6;NEMA
Jelena;Popović;ZENSKO;1988-09-14;063888999;jelena@company.com;jelena@company.com;jelena123;FIRMA;2008-10-22;0;2026-06-22;7;NEMA
Nikola;Vasić;MUSK0;2004-01-05;064999000;nikola.v@gmail.com;nikola.v@gmail.com;nikola04;BEZ_KATEGORIJE;2025-02-10;0;null;null;POSLAT
Milica;Ilić;ZENSKO;1960-11-23;065111333;milica.i@yahoo.com;milica.i@yahoo.com;milica60;PENZIONER;1982-12-01;4;null;8;NEMA
Pavle;Simić;MUSK0;1997-06-18;061222444;pavle@gmail.com;pavle@gmail.com;pavle97;STUDENT;2017-07-14;0;2025-12-25;9;NEMA
